"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5898" "2011-11-14" 20111114 31 1251.78 1131.42 0.00324797658163265 0.02370471 0.123015873015873 0.126984126984127 0.387753380952381 139.269105433287 32 45.5380082816835 0.141844796227902 0.119408421540238 0.106729592736486 0.133236789922084 0.131814781911781 0.151641398799627
"5901" "2011-11-15" 20111115 31 1257.81 1131.42 0.00323749931972789 0.02359029 0.119047619047619 0.130952380952381 0.388384619047619 143.416824853822 33 45.5380082816835 0.161797437124435 0.110778884687439 0.117935346160011 0.16370964594369 0.157677132953986 0.151700707816025
"5904" "2011-11-16" 20111116 31 1236.91 1131.42 0.00327027413265306 0.02355347 0.115079365079365 0.134920634920635 0.389015857142857 126.445296856058 34 45.5380082816835 0.247935734531798 0.223430061000002 0.117548365301302 0.202395488340225 0.262347713463859 0.145572895887638
"5907" "2011-11-17" 20111117 31 1216.13 1131.42 0.00332314823129252 0.02358975 0.111111111111111 0.138888888888889 0.389647095238095 110.233191915666 35 45.5380082816835 0.226333638226316 0.172321458735743 0.17951514033011 0.223736648404654 0.225495889567707 0.145629040083403
"5910" "2011-11-18" 20111118 31 1215.65 1131.42 0.00322423380952381 0.02358626 0.107142857142857 0.142857142857143 0.390278333333333 109.090204135538 36 45.5380082816835 0.152326544567607 0.0974383045986911 0.0929181934380647 0.136028694559876 0.105743019139034 0.145625817214805
"5913" "2011-11-21" 20111121 31 1192.98 1131.42 0.00320549857142857 0.02369399 0.103174603174603 0.146825396825397 0.390909571428571 92.3033718293541 37 45.5380082816835 0.287910104132466 0.263989663395102 0.134847137517518 0.200964160172399 0.287929134898692 0.143029567444028
"5916" "2011-11-22" 20111122 31 1188.04 1131.42 0.0030744903356009 0.02370132 0.0992063492063492 0.150793650793651 0.39154080952381 88.0750726811823 38 45.5380082816835 0.176628966818139 0.1244276669163 0.137546587066956 0.176863863255357 0.158141537305345 0.142505327988809
"5919" "2011-11-23" 20111123 31 1161.79 1131.42 0.00300108986394558 0.02382232 0.0952380952380952 0.154761904761905 0.392172047619048 70.413779933161 39 45.5380082816835 0.236636231743076 0.211010724658982 0.117668034466506 0.152655853632807 0.232090782729765 0.143361719208042
"5922" "2011-11-25" 20111125 31 1158.67 1131.42 0.00292931897959184 0.02395797 0.0912698412698413 0.158730158730159 0.392803285714286 67.5370198334715 40 45.5380082816835 0.136157803405901 0.097575091342462 0.0777685597656145 0.134681048564738 0.1573759569168 0.142603220160556
"5925" "2011-11-28" 20111128 31 1192.55 1131.42 0.0028409622297808 0.02406538 0.0873015873015873 0.162698412698413 0.393434523809524 88.2900792760628 41 45.5380082816835 0.446177609871771 0.0859150780879534 0.0797930386231069 0.188417337696694 0.427667543724086 0.142837782567378
"5928" "2011-11-29" 20111129 31 1195.19 1131.42 0.00283726595238095 0.024067 0.0833333333333333 0.166666666666667 0.394065761904762 89.150554373408 42 45.5380082816835 0.140836108846969 0.096858737204352 0.13013339087359 0.139810852061318 0.13437105592644 0.142829931713463
"5931" "2011-11-30" 20111130 31 1246.96 1131.42 0.00275083714285714 0.02409337 0.0793650793650794 0.170634920634921 0.394697 127.661177134937 43 45.5380082816835 0.422645215839802 0.0666126799353516 0.0967744530599976 0.123043871664387 0.449193015769807 0.148941590201462
"5934" "2011-12-01" 20111201 31 1244.58 1131.42 0.00271548 0.02414978 0.0753968253968254 0.174603174603175 0.395328238095238 124.932304993292 44 45.5380082816835 0.131582228155443 0.0960142108460404 0.106793206359273 0.130941438892526 0.100296692924508 0.148436538081877
"5937" "2011-12-02" 20111202 31 1244.28 1131.42 0.002704152 0.02407846 0.0714285714285714 0.178571428571429 0.395959476190476 123.899490516038 45 45.5380082816835 0.167140571016908 0.0941394812350593 0.114912341347785 0.140995559477997 0.151879946063825 0.14611086675852
"5940" "2011-12-05" 20111205 31 1257.08 1131.42 0.003321935 0.02406235 0.0674603174603175 0.182539682539683 0.396590714285714 133.920404030967 46 45.5380082816835 0.258860053793346 0.103390160744768 0.0820397281726087 0.144994989556366 0.235222630673041 0.146166803522162
"5943" "2011-12-06" 20111206 31 1258.47 1131.42 0.00344450214285714 0.02399527 0.0634920634920635 0.186507936507937 0.397221952380952 134.401081100115 47 45.5380082816835 0.113617823510737 0.0807541818346397 0.0952063861891426 0.120111988417296 0.111853018673115 0.143627188928922
"5946" "2011-12-07" 20111207 31 1261.01 1131.42 0.00353298714285714 0.02387822 0.0595238095238095 0.19047619047619 0.39785319047619 135.906675402912 48 45.5380082816835 0.174886329059785 0.137389189516937 0.0724228739088063 0.113151593862769 0.174064367948084 0.143170231263132
